iter	Logloss
0	0.6662261852
1	0.6357824008
2	0.6088885506
3	0.5866815019
4	0.5683602904
5	0.5448049436
6	0.5267867976
7	0.5095668822
8	0.4957400309
9	0.4800823702
10	0.4660050637
11	0.450692311
12	0.4380660749
13	0.4267074311
14	0.4156638374
15	0.4045122591
16	0.3943773316
17	0.384738693
18	0.3739449004
19	0.3654185825
20	0.357336392
21	0.349523355
22	0.3420884132
23	0.3351472493
24	0.3271512934
25	0.3197292723
26	0.3137087314
27	0.3077991617
28	0.3026250817
29	0.2966931219
30	0.2913797294
31	0.2858391807
32	0.2807901946
33	0.2771213101
34	0.2738202014
35	0.2701797095
36	0.2664242465
37	0.2626009582
38	0.2595344202
39	0.2557353523
40	0.2523483496
41	0.2493741328
42	0.2457628011
43	0.2424799824
44	0.2391199733
45	0.2367866779
46	0.2346572894
47	0.2326266249
48	0.2296654481
49	0.2276148737
50	0.2257277561
51	0.2236047214
52	0.221250804
53	0.2191935229
54	0.2176261338
55	0.2154765826
56	0.2139030447
57	0.2123265279
58	0.2110960552
59	0.20932086
60	0.2074543866
61	0.2060488757
62	0.2045814704
63	0.203431998
64	0.2008614006
65	0.1995069958
66	0.1981988564
67	0.1966946937
68	0.1956595625
69	0.1947024467
70	0.193649925
71	0.1913621495
72	0.1901588744
73	0.1893585732
74	0.1881770056
75	0.1871730506
76	0.1864626044
77	0.185315063
78	0.1842106137
79	0.1834886979
80	0.1822027077
81	0.1808662215
82	0.1796299649
83	0.1788624576
84	0.1778983328
85	0.1771449169
86	0.1765283168
87	0.1756747446
88	0.1749101934
89	0.1743368378
90	0.1735795988
91	0.1730802318
92	0.1724472278
93	0.1710877306
94	0.1705496277
95	0.1700728496
96	0.169201591
97	0.1686421679
98	0.1680754469
99	0.1674258723
