iter	Passed	Remaining
0	2	200
1	2	126
2	8	259
3	9	234
4	11	216
5	14	226
6	16	220
7	17	197
8	22	231
9	23	211
10	25	205
11	26	190
12	28	193
13	31	191
14	32	182
15	35	183
16	37	183
17	40	182
18	42	179
19	46	186
20	47	177
21	51	182
22	52	174
23	52	166
24	53	161
25	56	160
26	58	159
27	59	152
28	59	146
29	60	141
30	61	135
31	62	133
32	63	129
33	64	125
34	65	121
35	66	117
36	66	113
37	67	110
38	69	108
39	70	105
40	70	101
41	71	98
42	72	96
43	75	95
44	76	92
45	76	89
46	77	87
47	78	84
48	79	82
49	81	81
50	83	80
51	87	81
52	89	79
53	90	76
54	91	74
55	91	71
56	92	69
57	92	67
58	93	64
59	93	62
60	94	60
61	95	58
62	96	56
63	97	54
64	98	53
65	100	51
66	102	50
67	102	48
68	103	46
69	103	44
70	104	42
71	104	40
72	105	38
73	105	37
74	106	35
75	106	33
76	107	32
77	107	30
78	108	28
79	108	27
80	108	25
81	109	24
82	109	22
83	110	21
84	110	19
85	111	18
86	111	16
87	112	15
88	112	13
89	113	12
90	113	11
91	114	9
92	114	8
93	115	7
94	115	6
95	116	4
96	116	3
97	116	2
98	117	1
99	117	0
45	6
96	145	4
97	145	2
98	146	1
99	146	0
1	12
96	302	9
97	303	6
98	304	3
99	305	0
