model_name,actual,predicted,value,AUC
XGBoost,0,0,73,0.934857
XGBoost,0,1,2,0.934857
XGBoost,1,0,10,0.934857
XGBoost,1,1,25,0.934857
LogisticRegression,0,0,72,0.954667
LogisticRegression,0,1,3,0.954667
LogisticRegression,1,0,8,0.954667
LogisticRegression,1,1,27,0.954667
SGDClassifier,0,0,70,0.934095
SGDClassifier,0,1,5,0.934095
SGDClassifier,1,0,5,0.934095
SGDClassifier,1,1,30,0.934095
DecisionTree,0,0,72,0.879238
DecisionTree,0,1,3,0.879238
DecisionTree,1,0,12,0.879238
DecisionTree,1,1,23,0.879238
RandomForest,0,0,72,0.946286
RandomForest,0,1,3,0.946286
RandomForest,1,0,8,0.946286
RandomForest,1,1,27,0.946286
GradientBoosting,0,0,71,0.94781
GradientBoosting,0,1,4,0.94781
GradientBoosting,1,0,8,0.94781
GradientBoosting,1,1,27,0.94781
CatBoost,0,0,72,0.945905
CatBoost,0,1,3,0.945905
CatBoost,1,0,8,0.945905
CatBoost,1,1,27,0.945905
