order,FPR,TPR,threshold,model_name,AUC
0,0.0,0.0,inf,CatBoost,0.9459047619047618
1,0.0,0.02857142857142857,0.9557327098625249,CatBoost,0.9459047619047618
2,0.0,0.08571428571428572,0.9456963961708384,CatBoost,0.9459047619047618
3,0.013333333333333334,0.08571428571428572,0.9387259376606875,CatBoost,0.9459047619047618
4,0.013333333333333334,0.37142857142857144,0.8994487163044845,CatBoost,0.9459047619047618
5,0.02666666666666667,0.37142857142857144,0.8928035936088489,CatBoost,0.9459047619047618
6,0.02666666666666667,0.6,0.7403511104278868,CatBoost,0.9459047619047618
7,0.04,0.6,0.7057765977379774,CatBoost,0.9459047619047618
8,0.04,0.8285714285714286,0.4423655113416133,CatBoost,0.9459047619047618
9,0.05333333333333334,0.8285714285714286,0.4137497391147538,CatBoost,0.9459047619047618
10,0.05333333333333334,0.8571428571428571,0.347247352868717,CatBoost,0.9459047619047618
11,0.06666666666666667,0.8571428571428571,0.34682083478094405,CatBoost,0.9459047619047618
12,0.06666666666666667,0.8857142857142857,0.3077799191994719,CatBoost,0.9459047619047618
13,0.08,0.8857142857142857,0.2904062333435043,CatBoost,0.9459047619047618
14,0.08,0.9142857142857143,0.26802402867292785,CatBoost,0.9459047619047618
15,0.18666666666666668,0.9142857142857143,0.11386426009714147,CatBoost,0.9459047619047618
16,0.18666666666666668,0.9428571428571428,0.10528979597751432,CatBoost,0.9459047619047618
17,0.25333333333333335,0.9428571428571428,0.08091081934427377,CatBoost,0.9459047619047618
18,0.25333333333333335,0.9714285714285714,0.07848411602793522,CatBoost,0.9459047619047618
19,0.5866666666666667,0.9714285714285714,0.040608592144059034,CatBoost,0.9459047619047618
20,0.5866666666666667,1.0,0.04002732806920911,CatBoost,0.9459047619047618
21,1.0,1.0,0.021531211139768008,CatBoost,0.9459047619047618
0,0.0,0.0,inf,DecisionTree,0.8792380952380953
1,0.04,0.5142857142857142,1.0,DecisionTree,0.8792380952380953
2,0.04,0.5714285714285714,0.9,DecisionTree,0.8792380952380953
3,0.04,0.6571428571428571,0.6666666666666666,DecisionTree,0.8792380952380953
4,0.06666666666666667,0.7714285714285715,0.14285714285714285,DecisionTree,0.8792380952380953
5,0.21333333333333335,0.8571428571428571,0.02631578947368421,DecisionTree,0.8792380952380953
6,1.0,1.0,0.0,DecisionTree,0.8792380952380953
0,0.0,0.0,inf,GradientBoosting,0.9478095238095238
1,0.0,0.02857142857142857,0.9983097056439487,GradientBoosting,0.9478095238095238
2,0.0,0.08571428571428572,0.9963266707064395,GradientBoosting,0.9478095238095238
3,0.013333333333333334,0.08571428571428572,0.9954985623225744,GradientBoosting,0.9478095238095238
4,0.013333333333333334,0.17142857142857143,0.9935160699019117,GradientBoosting,0.9478095238095238
5,0.02666666666666667,0.17142857142857143,0.9929230555130787,GradientBoosting,0.9478095238095238
6,0.02666666666666667,0.6571428571428571,0.7808043764076208,GradientBoosting,0.9478095238095238
7,0.04,0.6571428571428571,0.7775853846062621,GradientBoosting,0.9478095238095238
8,0.04,0.7714285714285715,0.5341190907162839,GradientBoosting,0.9478095238095238
9,0.08,0.7714285714285715,0.41826111049536685,GradientBoosting,0.9478095238095238
10,0.08,0.8,0.3088010196126926,GradientBoosting,0.9478095238095238
11,0.09333333333333334,0.8,0.21580044850918872,GradientBoosting,0.9478095238095238
12,0.09333333333333334,0.8571428571428571,0.15485293599341185,GradientBoosting,0.9478095238095238
13,0.10666666666666667,0.8571428571428571,0.12818097094759187,GradientBoosting,0.9478095238095238
14,0.10666666666666667,0.8857142857142857,0.10244699136249565,GradientBoosting,0.9478095238095238
15,0.12,0.8857142857142857,0.09697600872204147,GradientBoosting,0.9478095238095238
16,0.12,0.9142857142857143,0.08902181849724557,GradientBoosting,0.9478095238095238
17,0.18666666666666668,0.9142857142857143,0.022127341476623475,GradientBoosting,0.9478095238095238
18,0.18666666666666668,0.9428571428571428,0.020200028997996566,GradientBoosting,0.9478095238095238
19,0.22666666666666666,0.9428571428571428,0.013470601765768572,GradientBoosting,0.9478095238095238
20,0.22666666666666666,0.9714285714285714,0.013335987920463963,GradientBoosting,0.9478095238095238
21,0.26666666666666666,0.9714285714285714,0.011378628734203122,GradientBoosting,0.9478095238095238
22,0.26666666666666666,1.0,0.009583949382440369,GradientBoosting,0.9478095238095238
23,0.8133333333333334,1.0,0.0026107116663114634,GradientBoosting,0.9478095238095238
24,0.8533333333333334,1.0,0.002521145385270715,GradientBoosting,0.9478095238095238
25,1.0,1.0,0.0014043996149153508,GradientBoosting,0.9478095238095238
0,0.0,0.0,inf,LogisticRegression,0.9546666666666667
1,0.0,0.02857142857142857,0.9911607290515678,LogisticRegression,0.9546666666666667
2,0.0,0.34285714285714286,0.887410993734038,LogisticRegression,0.9546666666666667
3,0.013333333333333334,0.34285714285714286,0.8794916469903121,LogisticRegression,0.9546666666666667
4,0.013333333333333334,0.4857142857142857,0.8115243755319143,LogisticRegression,0.9546666666666667
5,0.02666666666666667,0.4857142857142857,0.7944682279660624,LogisticRegression,0.9546666666666667
6,0.02666666666666667,0.6,0.6674020885738342,LogisticRegression,0.9546666666666667
7,0.04,0.6,0.6111362936486193,LogisticRegression,0.9546666666666667
8,0.04,0.7714285714285715,0.5224111643380162,LogisticRegression,0.9546666666666667
9,0.05333333333333334,0.7714285714285715,0.4754455898743328,LogisticRegression,0.9546666666666667
10,0.05333333333333334,0.8571428571428571,0.449308623908819,LogisticRegression,0.9546666666666667
11,0.06666666666666667,0.8571428571428571,0.4404090213669407,LogisticRegression,0.9546666666666667
12,0.06666666666666667,0.8857142857142857,0.4069002197965262,LogisticRegression,0.9546666666666667
13,0.08,0.8857142857142857,0.40592525679858904,LogisticRegression,0.9546666666666667
14,0.08,0.9142857142857143,0.39183932205155636,LogisticRegression,0.9546666666666667
15,0.22666666666666666,0.9142857142857143,0.17130802654930685,LogisticRegression,0.9546666666666667
16,0.22666666666666666,0.9428571428571428,0.16714902454785174,LogisticRegression,0.9546666666666667
17,0.24,0.9428571428571428,0.15622201494060547,LogisticRegression,0.9546666666666667
18,0.24,0.9714285714285714,0.1492054843139207,LogisticRegression,0.9546666666666667
19,0.4,0.9714285714285714,0.09895835081314305,LogisticRegression,0.9546666666666667
20,0.4,1.0,0.09465661066516569,LogisticRegression,0.9546666666666667
21,1.0,1.0,0.000582646448570024,LogisticRegression,0.9546666666666667
0,0.0,0.0,inf,RandomForest,0.9462857142857143
1,0.0,0.02857142857142857,0.9799337995200007,RandomForest,0.9462857142857143
2,0.0,0.08571428571428572,0.9767303988352509,RandomForest,0.9462857142857143
3,0.013333333333333334,0.08571428571428572,0.9641814025949239,RandomForest,0.9462857142857143
4,0.013333333333333334,0.4857142857142857,0.8271649547176836,RandomForest,0.9462857142857143
5,0.02666666666666667,0.4857142857142857,0.8103639655394395,RandomForest,0.9462857142857143
6,0.02666666666666667,0.7142857142857143,0.547143819745896,RandomForest,0.9462857142857143
7,0.04,0.7142857142857143,0.5430679972466299,RandomForest,0.9462857142857143
8,0.04,0.8857142857142857,0.38982941170207186,RandomForest,0.9462857142857143
9,0.05333333333333334,0.8857142857142857,0.37368874704085625,RandomForest,0.9462857142857143
10,0.05333333333333334,0.9142857142857143,0.3272756393489564,RandomForest,0.9462857142857143
11,0.2,0.9142857142857143,0.09864009660936204,RandomForest,0.9462857142857143
12,0.2,0.9428571428571428,0.09418603634369642,RandomForest,0.9462857142857143
13,0.25333333333333335,0.9428571428571428,0.07636484155127946,RandomForest,0.9462857142857143
14,0.25333333333333335,0.9714285714285714,0.07474280050669688,RandomForest,0.9462857142857143
15,0.7333333333333333,0.9714285714285714,0.009235691532441867,RandomForest,0.9462857142857143
16,0.7333333333333333,1.0,0.00911780836076123,RandomForest,0.9462857142857143
17,1.0,1.0,0.0005010130779149014,RandomForest,0.9462857142857143
0,0.0,0.0,inf,SGDClassifier,0.9340952380952381
1,0.0,0.02857142857142857,0.99999999910627,SGDClassifier,0.9340952380952381
2,0.0,0.2571428571428571,0.9999654418907911,SGDClassifier,0.9340952380952381
3,0.013333333333333334,0.2571428571428571,0.999943567148036,SGDClassifier,0.9340952380952381
4,0.013333333333333334,0.37142857142857144,0.9992708175605104,SGDClassifier,0.9340952380952381
5,0.02666666666666667,0.37142857142857144,0.9989288245706243,SGDClassifier,0.9340952380952381
6,0.02666666666666667,0.4,0.9980055418040058,SGDClassifier,0.9340952380952381
7,0.04,0.4,0.9978389002658294,SGDClassifier,0.9340952380952381
8,0.04,0.6285714285714286,0.954189211105078,SGDClassifier,0.9340952380952381
9,0.06666666666666667,0.6285714285714286,0.945484327629644,SGDClassifier,0.9340952380952381
10,0.06666666666666667,0.8571428571428571,0.522684097032307,SGDClassifier,0.9340952380952381
11,0.12,0.8571428571428571,0.31714642977762886,SGDClassifier,0.9340952380952381
12,0.12,0.8857142857142857,0.31611245842664565,SGDClassifier,0.9340952380952381
13,0.25333333333333335,0.8857142857142857,0.045412248463546794,SGDClassifier,0.9340952380952381
14,0.25333333333333335,0.9142857142857143,0.026725362869309124,SGDClassifier,0.9340952380952381
15,0.26666666666666666,0.9142857142857143,0.015061990211198422,SGDClassifier,0.9340952380952381
16,0.26666666666666666,0.9428571428571428,0.014427993830033797,SGDClassifier,0.9340952380952381
17,0.28,0.9428571428571428,0.014154028668396892,SGDClassifier,0.9340952380952381
18,0.28,0.9714285714285714,0.013943262262208454,SGDClassifier,0.9340952380952381
19,0.4533333333333333,0.9714285714285714,0.00034329214799153383,SGDClassifier,0.9340952380952381
20,0.4533333333333333,1.0,0.000332572878707762,SGDClassifier,0.9340952380952381
21,1.0,1.0,7.628274139474349e-12,SGDClassifier,0.9340952380952381
0,0.0,0.0,inf,XGBoost,0.9348571428571428
1,0.0,0.02857142857142857,0.9992415904998779,XGBoost,0.9348571428571428
2,0.0,0.11428571428571428,0.9980781078338623,XGBoost,0.9348571428571428
3,0.013333333333333334,0.11428571428571428,0.997785210609436,XGBoost,0.9348571428571428
4,0.013333333333333334,0.2857142857142857,0.9919258952140808,XGBoost,0.9348571428571428
5,0.02666666666666667,0.2857142857142857,0.9890714883804321,XGBoost,0.9348571428571428
6,0.02666666666666667,0.8285714285714286,0.29806557297706604,XGBoost,0.9348571428571428
7,0.05333333333333334,0.8285714285714286,0.0883474349975586,XGBoost,0.9348571428571428
8,0.05333333333333334,0.8857142857142857,0.0438452884554863,XGBoost,0.9348571428571428
9,0.06666666666666667,0.8857142857142857,0.03978472203016281,XGBoost,0.9348571428571428
