iter	RMSE
0	0.3916922154
1	0.3894396378
2	0.3871564682
3	0.385046719
4	0.3827868205
5	0.3805473159
6	0.3785304098
7	0.3762577884
8	0.3741207628
9	0.3721722596
10	0.3702401477
11	0.3681730356
12	0.3663812597
13	0.3646033243
14	0.3625175218
15	0.3606421403
16	0.358718174
17	0.3567337435
18	0.3550734099
19	0.3534382052
20	0.3514931873
21	0.349853843
22	0.3478667933
23	0.3463729101
24	0.3446336278
25	0.3428262587
26	0.3410754812
27	0.339586675
28	0.3378230637
29	0.3360771555
30	0.3346046428
31	0.3331268144
32	0.3316242027
33	0.3300831965
34	0.3286387942
35	0.3270781408
36	0.3254903247
37	0.3242099658
38	0.3228160435
39	0.3216183048
40	0.3201445977
41	0.3186997458
42	0.317127248
43	0.3156723645
44	0.3142622185
45	0.3128678631
46	0.311659193
47	0.3105447561
48	0.3091821749
49	0.308001806
50	0.3067289676
51	0.305451214
52	0.3040693638
53	0.3027308478
54	0.3015246021
55	0.3001686982
56	0.2990452321
57	0.297924935
58	0.2966439671
59	0.2953933902
60	0.2941188013
61	0.2930912081
62	0.2918917087
63	0.2909066288
64	0.2898672629
65	0.2886099726
66	0.2877211584
67	0.2865981093
68	0.2855173082
69	0.2844216846
70	0.2836212663
71	0.2825597946
72	0.2813899608
73	0.2805430917
74	0.2795754887
75	0.2786481941
76	0.2776970694
77	0.2768149811
78	0.2756879638
79	0.2747105053
80	0.2737566483
81	0.2728423228
82	0.2719527664
83	0.2712703166
84	0.2701779263
85	0.2692708538
86	0.2684956566
87	0.2676189975
88	0.2667407394
89	0.2660238053
90	0.2652867654
91	0.264483901
92	0.2636825729
93	0.2628313739
94	0.2619219232
95	0.2611271186
96	0.2602396014
97	0.2595254519
98	0.258859165
99	0.2580290447
100	0.2572576904
101	0.2564486268
102	0.2557602374
103	0.2551417779
104	0.2544193605
105	0.2536042968
106	0.2529335663
107	0.252298165
108	0.2515995249
109	0.2507993971
110	0.2501537985
111	0.2494037037
112	0.2487642104
113	0.2481098251
114	0.2474400581
115	0.2467877087
116	0.2460157067
117	0.2452960414
118	0.2447135898
119	0.2442368058
120	0.2436502152
121	0.2428559761
122	0.2422513741
123	0.2416606753
124	0.2410613614
125	0.2404959581
126	0.2399765307
127	0.2393964275
128	0.2388486731
129	0.2382178329
130	0.2375988354
131	0.2370170618
132	0.2364481606
133	0.2358938684
134	0.2354573474
135	0.2349272198
136	0.2345157372
137	0.2338809659
138	0.2333563699
139	0.232755798
140	0.2322703921
141	0.2317348754
142	0.2312374293
143	0.2308291754
144	0.230378531
145	0.2299833371
146	0.2295607128
147	0.2291537519
148	0.2285910468
149	0.2281420295
150	0.2276924984
151	0.2273348485
152	0.2268716982
153	0.2265515531
154	0.2260877505
155	0.2256587789
156	0.2251441999
157	0.2245780316
158	0.2241366086
159	0.2236906187
160	0.2231986233
161	0.2228889922
162	0.2224234237
163	0.2219621529
164	0.2214515397
165	0.2210407587
166	0.2207042547
167	0.2202585649
168	0.2198662633
169	0.219621836
170	0.2193904655
171	0.2190365104
172	0.218705868
173	0.2182953591
174	0.2178436481
175	0.2174350766
176	0.2171570123
177	0.2168601015
178	0.216426274
179	0.2161570709
180	0.2157750029
181	0.2153465709
182	0.215076763
183	0.2146592325
184	0.2142604967
185	0.2140347999
186	0.213700069
187	0.2133166883
188	0.2130215485
189	0.2126382258
190	0.2122527196
191	0.2119651259
192	0.2116615742
193	0.2113895731
194	0.2110891054
195	0.2107079086
196	0.210380754
197	0.210147364
198	0.2099479092
199	0.2095762622
200	0.209357642
201	0.2090381287
202	0.208741887
203	0.2084681119
204	0.2082107172
205	0.2079467089
206	0.2077192334
207	0.2074419522
208	0.207087714
209	0.2068153151
210	0.2065735458
211	0.2062815304
212	0.2061155625
213	0.2058699389
214	0.2056218521
215	0.2052541413
216	0.2050369432
217	0.2047003487
218	0.2044150019
219	0.2040561433
220	0.2038105779
221	0.2035822633
222	0.2033793689
223	0.2032200642
224	0.2029636246
225	0.2028303242
226	0.2025569866
227	0.2023310788
228	0.2020949826
229	0.2018588379
230	0.2015857246
231	0.2014332001
232	0.2012133736
233	0.2009277086
234	0.2007226182
235	0.2004696646
236	0.2002889799
237	0.2000596895
238	0.1997894262
239	0.1994959386
240	0.1993173288
241	0.1991465501
242	0.1988491923
243	0.1986096868
244	0.1984332992
245	0.1982164987
246	0.1979149624
247	0.19770478
248	0.1975078708
249	0.1972286121
250	0.1970519008
251	0.196836904
252	0.1966506076
253	0.1964620648
254	0.1963169448
255	0.1961606566
256	0.1959530586
257	0.1956979729
258	0.1955044565
259	0.195376907
260	0.1951503282
261	0.1949607199
262	0.1947588408
263	0.1946447261
264	0.1945229396
265	0.1943569698
266	0.194218045
267	0.1940126174
268	0.1938588156
269	0.1936888183
270	0.1934890728
271	0.1933034543
272	0.1931525944
273	0.1929342404
274	0.1927450704
275	0.1925990677
276	0.1924640592
277	0.1923096883
278	0.1921182983
279	0.1920149049
280	0.1918541771
281	0.1916564811
282	0.1914971118
283	0.191287562
284	0.1911483372
285	0.1909716922
286	0.1907708692
287	0.1906337608
288	0.19045749
289	0.1903238713
290	0.1902225951
291	0.1901000879
292	0.189993608
293	0.1898497001
294	0.1897494569
295	0.1896161362
296	0.1894918349
297	0.1893551225
298	0.1892709774
299	0.1890587967
300	0.1889149249
301	0.1887398736
302	0.1886012316
303	0.1884418709
304	0.1882737664
305	0.1881422934
306	0.188016853
307	0.1878850445
308	0.1877176201
309	0.1876227896
310	0.1873912433
311	0.1872400629
312	0.1870890192
313	0.186953932
314	0.1868378409
315	0.1866986326
316	0.1865743582
317	0.1864365096
318	0.1863386106
319	0.1862265265
320	0.1861252809
321	0.1859893511
322	0.1858260325
323	0.1856859217
324	0.1855375267
325	0.1854151841
326	0.1852995345
327	0.1851670369
328	0.185037271
329	0.1849174333
330	0.1848146758
331	0.1847035846
332	0.1846011565
333	0.1844873311
334	0.1843359693
335	0.1841987927
336	0.1840903086
337	0.1839716782
338	0.1838878988
339	0.1837970706
340	0.1836592746
341	0.1835048635
342	0.1833567699
343	0.1832042225
344	0.1830722711
345	0.1829871718
346	0.182842314
347	0.1827398368
348	0.1825911356
349	0.1824957649
350	0.1823876498
351	0.1822675495
352	0.1821752879
353	0.1820349109
354	0.1819571617
355	0.1818899437
356	0.1817872886
357	0.1816462248
358	0.181551617
359	0.1814318714
360	0.1813478128
361	0.1812447764
362	0.1811086689
363	0.1810164628
364	0.1809150127
365	0.1807976232
366	0.1806887154
367	0.180544108
368	0.1804435304
369	0.1803616163
370	0.1802518859
371	0.1801500919
372	0.1800184402
373	0.1799131992
374	0.1797601373
375	0.1796335547
376	0.1794966607
377	0.1793982035
378	0.1793148382
379	0.1791843173
380	0.1790988895
381	0.1790031423
382	0.1788600533
383	0.1787740909
384	0.1786529988
385	0.1785697505
386	0.1784915817
387	0.1784052112
388	0.1783344314
389	0.1782191373
390	0.1781021533
391	0.177945928
392	0.1778857626
393	0.1777854356
394	0.1777162649
395	0.1775620516
396	0.1774097717
397	0.1773444649
398	0.1772277162
399	0.1771720808
400	0.1770758096
401	0.1769645389
402	0.1768549521
403	0.1767452043
404	0.1766417341
405	0.1765333647
406	0.1764541496
407	0.1763478427
408	0.1762387409
409	0.1761250202
410	0.1760304771
411	0.1759438747
412	0.1758447052
413	0.1756903303
414	0.1756158712
415	0.175518326
416	0.1754399183
417	0.1752993904
418	0.1752183016
419	0.1751445873
420	0.1750635597
421	0.1750005438
422	0.1749040157
423	0.1748382559
424	0.174765023
425	0.1746547412
426	0.1745742818
427	0.1744481879
428	0.1743288433
429	0.174260278
430	0.1741534667
431	0.1740788318
432	0.1740251763
433	0.1739193131
434	0.1737896854
435	0.1736835316
436	0.1735942349
437	0.1735188924
438	0.1734075457
439	0.1732513708
440	0.1731994303
441	0.173082193
442	0.173008646
443	0.1728785147
444	0.1727483423
445	0.1726378605
446	0.1725541815
447	0.172485903
448	0.1724077405
