iter	Passed	Remaining
0	0	263
1	5	12762	6	1029
3	10	127644	10	106755	13	11066	15	1066
7	16	10008	21	1153
9	21	1055
10	23	1059
11	32	1307
12	35	1312
13	35	1229
14	35	1162
15	36	1098
16	36	1041
17	37	991
18	37	946
19	37	907
20	38	874
2122	40	832
23	43	854
24	46	885
25	46	855
26	47	830
27	51	869
28	51	841
29	52	817
30	55	838
31	55	816
32	56	794
33	57	781
34	57	761
35	60	774
36	64	809
37	65	791
38	68	804
39	68	788
40	72	807
41	72	791
42	75	802
43	79	826
44	80	810
45	82	815
46	86	836
47	87	822
48	89	820
49	89	805
50	94	831
51	94	817
52	98	830
53	98	816
54	101	820
55	104	827
56	106	827
57	106	814
58	108	807
59	109	802
60	109	790
61	110	778
62	110	767
63	110	756
64	111	745
65	111	734
66	112	724
67	113	721
68	117	736
69	118	726
70	122	740
71	122	730
72	123	721
73	123	711
74	123	702
75	128	714
76	131	721
77	131	712
78	133	712
79	134	704
80	134	696
81	135	688
82	136	687
83	137	679
84	139	679
85	139	672
86	141	671
87	141	664
88	145	672
89	146	665
90	146	658
91	146	651
92	147	645
93	151	655
94	153	654
95	153	647
96	159	664
97	161	660
98	161	654
99	161	647
100	162	641
101	162	634
102	163	628
103	163	622
104	163	615
105	163	609
106	164	604
107	164	598
108	165	592
109	165	587
110	170	597
111	170	592
112	171	586
113	175	593
114	175	588
115	176	582
116	179	587
117	182	590
118	185	594
119	187	593
120	188	591
121	189	586
122	189	581
123	190	576
124	190	572
125	190	566
126	194	569
127	202	589
128	205	591
129	206	586
130	206	581
131	206	576
132	207	572
133	207	567
134	208	563
135	213	571
136	213	566
137	214	562
138	214	557
139	216	556
140	216	552
141	219	552
142	221	553
143	228	565
144	229	562
145	230	558
146	231	5148	231	545
149148	236	555
149	240	561
150	245	567
151	246	563
152	252	572
153	252	567
154	254	567
155	255	562
156	255	558
157	256	554
158	256	549
159	260	553
160	260	549
161	261	544
162	263	545
163	265	543
164	268	544
165	268	540
166	268	536
167	269	532
168	269	528
169	271	526
170	272	525
171	273	521
172	273	517
173	275	515
174	277	515
175	278	513
176	282	514
177	282	510
178	282	507
179	283	503
180	283	499
181	283	496
182	285	494
183	289	496
184	289	493
185	290	490
186	291	487
187	292	485
188	293	483
189	294	480
190	294	476
191	295	473
192	295	469
193	295	466
194	296	463
195	296	460
196	296	456
197	297	454
198	298	450
199	298	447
200	299	445
201	300	442
202	300	439
203	300	436
204	301	433
205	303	433
206	304	430
207	304	427
208	306	426
209	308	425
210	310	425
211	310	422
212	311	419
213	312	417
214	312	414
215	314	412
216	315	411
217	315	408
218	316	405
219	318	404
220	318	402
221	319	400
222	319	397
223	320	394
224	320	392
225	321	389
226	321	386
227	321	383
228	322	381
229	322	378
230	324	377
231	324	375
232	325	373
233	326	370
234	326	368
235	327	366
236	328	364
237	329	362
238	330	360
239	330	358
240	331	356
241	332	354
242	332	351
243	335	351
244	335	349
245	336	347
246	338	346
247	339	344
248	339	342
249	339	339
250	340	337
251	341	335
252	341	333
253	342	331
254	343	329
255	343	327
256	344	325
257	345	323
258	345	321
259	345	319
260	348	319
261	348	316
262	349	314
263	349	312
264	351	312
265	353	311
266	354	309
267	354	307
268	355	305
269	355	303
270	356	300
271	356	298
272	356	296
273	357	294
274	357	292
275	357	290
276	358	288
277	358	286
278	359	284
279	359	282
280	359	280
281	360	278
282	360	276
283	361	274
284	361	272
285	361	270
286	362	268
287	362	266
288	362	265
289	363	263
290	363	261
291	364	259
292	364	257
293	364	255
294	365	253
295	365	251
296	365	250
297	366	248
298	366	246
299	366	244
300	367	242
301	367	241
302	368	239
303	368	237
304	368	235
305	369	234
306	369	232
307	370	230
308	370	229
309	370	227
310	371	225
311	371	223
312	372	222
313	372	220
314	372	219
315	373	217
316	373	215
317	374	214
318	374	212
319	375	210
320	375	209
321	375	207
322	376	206
323	376	204
324	376	202
325	377	201
326	377	199
327	377	198
328	378	196
329	378	195
330	379	193
331	379	192
332	380	190
333	380	189
334	381	187
335	381	186
336	382	184
337	382	183
338	383	181
339	383	180
340	384	179
341	384	177
342	385	176
343	385	174
344	385	173
345	386	171
346	386	170
347	387	169
348	387	167
349	387	166
350	388	164
351	388	163
352	388	161
353	389	160
354	389	159
355	390	157
356	390	156
357	391	155
358	391	153
359	391	152
360	391	150
361	392	149
362	392	148
363	392	146
364	393	145
365	393	144
366	393	142
367	394	141
368	394	140
369	394	138
370	395	137
371	395	136
372	395	134
373	396	133
374	396	132
375	396	130
376	397	129
377	397	128
378	397	126
379	398	125
380	398	124
381	398	123
382	398	121
383	399	120
384	399	119
385	399	118
386	400	116
387	400	115
388	400	114
389	400	113
390	401	111
391	401	110
392	401	109
393	402	108
394	402	106
395	402	105
396	403	104
397	403	103
398	403	102
399	404	101
400	404	99
401	404	98
402	405	97
403	405	96
404	405	95
405	405	93
406	406	92
407	406	91
408	406	90
409	407	89
410	407	88
411	407	87
412	408	85
413	408	84
414	408	83
415	408	82
416	409	81
417	409	80
418	409	79
419	410	78
420	410	77
421	410	75
422	411	74
423	411	73
424	411	72
425	412	71
426	412	70
427	412	69
428	413	68
429	413	67
430	413	66
431	414	65
432	414	64
433	414	63
434	415	62
435	415	60
436	415	59
437	415	58
438	416	57
439	416	56
440	416	55
441	417	54
442	417	53
443	417	52
444	418	51
445	418	50
446	418	49
447	418	48
448	419	47
