iter	Passed	Remaining
0	138	41382
1	139	20790
2	140	13908
3	141	10469
4	142	8397
5	143	7015
6	143	6024
7	144	5283
8	145	4703
9	146	4242
10	147	3863
11	147	3546
12	148	3278
13	149	3047
14	149	2848
15	150	2672
16	151	2517
17	152	2382
18	153	2264
19	153	2154
20	154	2055
21	155	1964
22	156	1881
23	157	1806
24	157	1736
25	158	1672
26	159	1612
27	160	1556
28	161	1504
29	161	1455
30	162	1410
31	163	1367
32	164	1327
33	164	1289
34	165	1252
35	166	1218
36	166	1186
37	167	1157
38	168	1128
39	169	1101
40	170	1075
41	170	1049
42	171	1025
43	172	1002
44	173	980
45	173	960
46	174	940
47	175	920
48	176	901
49	176	883
50	177	866
51	178	849
52	178	833
53	179	818
54	180	803
55	181	789
56	181	775
57	182	762
58	183	749
59	184	737
60	184	724
61	185	712
62	186	701
63	187	690
64	188	679
65	188	669
66	189	659
67	190	649
68	191	639
69	191	629
70	192	620
71	193	611
72	193	602
73	194	593
74	195	585
75	195	577
76	196	569
77	197	562
78	198	555
79	199	547
80	199	540
81	200	533
82	201	526
83	202	519
84	202	513
85	203	506
86	204	500
87	205	494
88	205	488
89	206	481
90	207	476
91	208	470
92	208	465
93	209	459
94	210	454
95	211	448
96	211	443
97	212	438
98	213	433
99	214	428
100	215	423
101	215	418
102	216	414
103	217	409
104	218	405
105	219	401
106	220	396
107	220	392
108	221	388
109	222	384
110	223	379
111	223	375
112	224	371
113	225	367
114	226	363
115	226	359
116	227	356
117	229	353
118	229	349
119	230	345
120	231	342
121	232	338
122	232	335
123	233	331
124	234	328
125	235	324
126	236	321
127	236	318
128	237	314
129	238	311
130	239	308
131	239	305
132	240	302
133	241	299
134	242	296
135	243	293
136	245	291
137	245	288
138	246	285
139	247	282
140	248	279
141	248	276
142	249	274
143	250	271
144	251	268
145	252	265
146	252	263
147	253	260
148	254	257
149	255	255
150	255	252
151	256	249
152	257	247
153	258	244
154	259	242
155	260	240
156	260	237
157	261	235
158	262	232
159	263	230
160	264	228
161	264	225
162	265	223
163	266	220
164	267	218
165	267	216
166	268	213
167	269	211
168	269	209
169	270	206
170	271	204
171	272	202
172	272	200
173	273	198
174	274	196
175	275	194
176	276	192
177	277	189
178	277	187
179	278	185
180	279	183
181	280	181
182	280	179
183	281	177
184	282	175
185	282	173
186	283	171
187	284	169
188	285	167
189	286	165
190	286	163
191	287	161
192	288	159
193	289	158
194	290	156
195	291	154
196	292	152
197	292	150
198	293	149
199	294	147
200	295	145
201	296	143
202	296	141
203	297	140
204	298	138
205	299	136
206	300	135
207	301	133
208	301	131
209	302	129
210	303	128
211	304	126
212	305	124
213	306	123
214	307	121
215	308	119
216	308	118
217	309	116
218	310	114
219	311	113
220	312	111
221	313	110
222	314	108
223	315	106
224	315	105
225	316	103
226	317	102
227	317	100
228	318	98
229	319	97
230	320	95
231	321	94
232	322	92
233	323	91
234	323	89
235	324	88
236	325	86
237	326	85
238	327	83
239	328	82
240	329	80
241	330	79
242	331	77
243	332	76
244	332	74
245	333	73
246	334	71
247	335	70
248	336	68
249	337	67
250	338	66
251	339	64
252	339	63
253	340	61
254	341	60
255	341	58
256	342	57
257	343	55
258	344	54
259	345	53
260	345	51
261	346	50
262	347	48
263	348	47
264	348	46
265	349	44
266	350	43
267	351	41
268	352	40
269	352	39
270	353	37
271	354	36
272	355	35
273	355	33
274	356	32
275	357	31
276	358	29
277	358	28
278	359	27
279	360	25
280	360	24
281	361	23
282	362	21
283	363	20
284	364	19
285	364	17
286	365	16
287	366	15
288	367	13
289	368	12
290	368	11
291	369	10
292	370	8
293	371	7
294	371	6
295	372	5
296	373	3
297	374	2
298	375	1
299	375	0
