iter	RMSE
0	0.3698724522
1	0.3678322657
2	0.3657553629
3	0.3637240588
4	0.3616415153
5	0.3596902006
6	0.3577435322
7	0.3557029751
8	0.3539684023
9	0.3520561289
10	0.3502354528
11	0.3483455213
12	0.3465683663
13	0.3447817593
14	0.3430087624
15	0.3412068813
16	0.3394766718
17	0.3377785218
18	0.3362694238
19	0.3346004925
20	0.3330184601
21	0.3314742468
22	0.3299261618
23	0.3285099274
24	0.3268257768
25	0.3251492589
26	0.3237461713
27	0.3222229174
28	0.3206855018
29	0.3193454098
30	0.3179470844
31	0.3165818599
32	0.3152239397
33	0.3139111056
34	0.3125082083
35	0.3112814831
36	0.3101031326
37	0.3086254536
38	0.3072188483
39	0.3061576503
40	0.304750538
41	0.3033565325
42	0.3020032041
43	0.3007077894
44	0.2994629193
45	0.2981947508
46	0.2970934576
47	0.2960454282
48	0.2948461959
49	0.2937594791
50	0.2926127351
51	0.2912660673
52	0.2903165855
53	0.289336396
54	0.2881966574
55	0.2871011893
56	0.2861078219
57	0.2850438542
58	0.283814175
59	0.28288393
60	0.2815432983
61	0.2806367444
62	0.2795705098
63	0.2785530515
64	0.2777092591
65	0.2766293933
66	0.2758534798
67	0.2748163565
68	0.2738082823
69	0.2730661664
70	0.2722909625
71	0.2714775675
72	0.2703836332
73	0.2693387337
74	0.2683358094
75	0.2673634375
76	0.266422965
77	0.265319027
78	0.2644673243
79	0.2635293982
80	0.2626851184
81	0.2618246591
82	0.2609806805
83	0.2600964653
84	0.2592432788
85	0.2582562306
86	0.2573973741
87	0.256516971
88	0.2556278623
89	0.2548757007
90	0.2541753931
91	0.2533835421
92	0.2527086165
93	0.2520399285
94	0.2512908741
95	0.2506525184
96	0.2500396519
97	0.2493239275
98	0.2485917254
99	0.2479012843
100	0.2472552071
101	0.2465078072
102	0.2458468103
103	0.2450198402
104	0.2443470564
105	0.2436677602
106	0.2432676042
107	0.2425828025
108	0.2419103871
109	0.2413043043
110	0.2406265846
111	0.240085628
112	0.2393621739
113	0.2388851357
114	0.2381505166
115	0.2373754795
116	0.236782147
117	0.2361418454
118	0.2354998895
119	0.2350008667
120	0.2344048127
121	0.2338077471
122	0.2332015648
123	0.2326384477
124	0.2319561139
125	0.231340101
126	0.2307232004
127	0.2302481726
128	0.2296709234
129	0.2289973847
130	0.2284215083
131	0.2280409198
132	0.2275718389
133	0.2270402634
134	0.2264618326
135	0.226041223
136	0.225536243
137	0.2251696323
138	0.2245753413
139	0.2242433984
140	0.2238230428
141	0.2233598205
142	0.2230076449
143	0.222566301
144	0.2220595069
145	0.2215655648
146	0.2211632016
147	0.220741243
148	0.2202993213
149	0.2198743777
150	0.2194309663
151	0.2189932873
152	0.2184889621
153	0.2180572817
154	0.2176338792
155	0.2172773728
156	0.2167374786
157	0.2164037574
158	0.2159925654
159	0.2156047562
160	0.2151350971
161	0.2147148603
162	0.2144285318
163	0.2140452787
164	0.213636331
165	0.213223647
166	0.2128639871
167	0.2124583301
168	0.2120205661
169	0.2116750309
170	0.21134801
171	0.211017832
172	0.2108566511
173	0.2104199129
174	0.2101090072
175	0.2097803415
176	0.2094495568
177	0.2090701529
178	0.2087098851
179	0.2084851109
180	0.2081514381
181	0.2077629578
182	0.2073993444
183	0.2070198373
184	0.2067374043
185	0.206406743
186	0.2059910508
187	0.2056291621
188	0.2053570308
189	0.2050482247
190	0.2047229317
191	0.2044886051
192	0.2041663447
193	0.2038973935
194	0.203544082
195	0.2032880552
196	0.2030360075
197	0.2026546022
198	0.2023728112
199	0.2019929027
200	0.2016540583
201	0.201407739
202	0.2011063653
203	0.2008694225
204	0.2005409088
205	0.2003616147
206	0.2000211301
207	0.1997117276
208	0.199493205
209	0.1992072098
210	0.1989061558
211	0.1985526335
212	0.1982954201
213	0.1979646703
214	0.1976933228
215	0.1973835675
216	0.1970517306
217	0.1967550426
218	0.196569268
219	0.1964117643
220	0.196234523
221	0.1960649597
222	0.1958226009
223	0.1955714556
224	0.195298036
225	0.1950408824
226	0.194765788
227	0.1945087693
228	0.194309083
229	0.194037774
230	0.1938149469
231	0.1935940968
232	0.1933162778
233	0.1930634714
234	0.1928613406
235	0.1927535145
236	0.1925282654
237	0.192328087
238	0.1920680666
239	0.1917800174
240	0.1914888338
241	0.1912189789
242	0.1910091525
243	0.1906767669
244	0.1904813374
245	0.1902194819
246	0.1900774026
247	0.1898356014
248	0.189536918
249	0.1892775324
250	0.1891268017
251	0.1888602823
252	0.1886325893
253	0.1884223507
254	0.188268944
255	0.1880487382
256	0.18787532
257	0.1877257395
258	0.1875001153
259	0.187231072
260	0.1870699955
261	0.1869656611
262	0.186764367
263	0.1864852629
264	0.1862774487
265	0.1861463283
266	0.1859531938
267	0.185712604
268	0.185551411
269	0.1854956499
270	0.1853493652
271	0.1852193396
272	0.1849802766
273	0.1848030096
274	0.1846272232
275	0.1844815849
276	0.184303401
277	0.1841535898
2035044
278	0.1900300855
279	0.1898925203
280	0.1896616356
281	0.189498258
282	0.1893396788
283	0.1892386222
284	0.1890344439
285	0.1889157089
286	0.1887602874
287	0.1886390659
288	0.1884638737
289	0.1883173656
290	0.1881364041
291	0.1879517113
292	0.1877690131
293	0.1875943316
294	0.1875156001
295	0.1873568686
296	0.1871769887
297	0.186953917
298	0.1868093279
299	0.1867149752
