iter	Passed	Remaining
0	0	195
1	1	195
2	1	166
3	2	153
4	2	148
5	2	145
6	3	147
7	4	147
8	4	137
9	4	140
10	5	138
11	5	135
12	6	135
13	6	136
14	7	134
15	7	132
16	7	129
17	8	127
18	8	125
19	8	125
20	9	126
21	10	128
22	10	128
23	10	125
24	11	125
25	11	125
26	12	125
27	12	123
28	13	123
29	13	122
30	14	122
31	14	122
32	15	122
33	15	121
34	16	121
35	16	120
36	16	120
37	17	119
38	17	118
39	18	117
40	18	116
41	18	115
42	19	114
43	19	114
44	20	113
45	20	112
46	21	113
47	21	112
48	21	111
49	22	110
50	22	110
51	23	111
52	23	109
53	24	109
54	24	109
55	25	109
56	25	109
57	26	109
58	26	108
59	27	108
60	27	107
61	28	108
62	29	109
63	29	109
64	30	108
65	30	109
66	31	108
67	31	108
68	32	107
69	32	106
70	32	106
71	33	105
72	33	104
73	34	103
74	34	103
75	34	102
76	35	101
77	35	101
78	35	100
79	36	99
80	36	98
81	36	97
82	37	97
83	37	96
84	37	96
85	38	95
86	38	94
87	39	94
88	39	93
89	39	93
90	40	92
91	40	91
92	40	91
93	41	90
94	41	90
95	42	91
96	43	90
97	43	90
98	44	89
99	44	89
100	44	88
101	45	88
102	45	87
103	46	86
104	46	86
105	46	85
106	46	84
107	47	84
108	47	83
109	48	82
110	48	82
111	48	81
112	49	81
113	49	80
114	49	80
115	50	79
116	50	79
117	50	78
118	51	78
119	51	77
120	51	76
121	52	76
122	52	75
123	53	75
124	53	74
125	53	74
126	53	73
127	54	72
128	54	72
129	54	71
130	55	71
131	55	70
132	56	70
133	56	70
134	57	69
135	57	69
136	57	69
137	58	68
138	58	68
139	59	67
140	59	67
141	59	66
142	60	66
143	60	65
144	60	65
145	61	64
146	61	64
147	62	63
148	62	63
149	62	62
150	63	62
151	63	61
152	63	61
153	64	60
154	64	60
155	64	59
156	65	59
157	65	58
158	65	58
159	66	58
160	66	57
161	67	57
162	67	56
163	67	56
164	68	55
165	68	55
166	69	54
167	69	54
168	69	54
169	70	54
170	71	53
171	72	53
172	72	53
173	72	52
174	73	52
175	73	52
176	74	51
177	74	51
178	74	50
179	75	50
180	75	49
181	76	49
182	76	48
183	76	48
184	77	47
185	77	47
186	77	47
187	78	46
188	78	46
189	78	45
190	79	45
191	80	45
192	81	44
193	81	44
194	81	43
195	82	43
196	82	43
197	82	42
198	83	42
199	83	41
200	83	41
201	84	40
202	84	40
203	84	39
204	85	39
205	85	39
206	86	38
207	86	38
208	86	37
209	87	37
210	87	37
211	88	36
212	88	36
213	89	35
214	89	35
215	89	34
216	90	34
217	90	34
218	90	33
219	91	33
220	91	32
221	91	32
222	91	31
223	92	31
224	92	30
225	92	30
226	93	29
227	93	29
228	93	29
229	94	28
230	94	28
231	94	27
232	95	27
233	95	26
234	95	26
235	96	26
236	96	25
237	96	25
238	96	24
239	97	24
240	97	23
241	97	23
242	98	23
243	99	22
244	100	22
245	100	22
246	101	21
247	101	21
248	101	20
249	102	20
250	102	20
251	102	19
252	103	19
253	103	18
254	103	18
255	104	17
256	104	17
257	104	17
258	105	16
259	105	16
260	106	15
261	106	15
262	106	15
263	107	14
264	107	14
265	107	13
266	108	13
267	108	12
268	108	12
269	108	12
270	109	11
271	109	11
272	109	10
273	110	10
274	110	10
275	110	9
276	111	9
277	111	8
10
276	126	10
277	126	10
278	126	9
279	127	9
280	127	8
281	128	8
282	128	7
283	129	7
284	129	6
285	130	6
286	130	5
287	130	5
288	131	4
289	131	4
290	132	4
291	133	3
292	133	3
293	133	2
294	134	2
295	134	1
296	134	1
297	135	0
298	135	0
299	136	0
