date,keyword,interest
2015-12-27,compras online,0
2016-01-03,compras online,0
2016-01-10,compras online,0
2016-01-17,compras online,0
2016-01-24,compras online,0
2016-01-31,compras online,0
2016-02-07,compras online,0
2016-02-14,compras online,0
2016-02-21,compras online,0
2016-02-28,compras online,0
2016-03-06,compras online,0
2016-03-13,compras online,0
2016-03-20,compras online,0
2016-03-27,compras online,0
2016-04-03,compras online,0
2016-04-10,compras online,0
2016-04-17,compras online,0
2016-04-24,compras online,0
2016-05-01,compras online,0
2016-05-08,compras online,0
2016-05-15,compras online,0
2016-05-22,compras online,0
2016-05-29,compras online,0
2016-06-05,compras online,0
2016-06-12,compras online,0
2016-06-19,compras online,0
2016-06-26,compras online,0
2016-07-03,compras online,0
2016-07-10,compras online,0
2016-07-17,compras online,0
2016-07-24,compras online,0
2016-07-31,compras online,0
2016-08-07,compras online,0
2016-08-14,compras online,0
2016-08-21,compras online,0
2016-08-28,compras online,0
2016-09-04,compras online,0
2016-09-11,compras online,0
2016-09-18,compras online,0
2016-09-25,compras online,0
2016-10-02,compras online,0
2016-10-09,compras online,0
2016-10-16,compras online,0
2016-10-23,compras online,0
2016-10-30,compras online,0
2016-11-06,compras online,0
2016-11-13,compras online,0
2016-11-20,compras online,0
2016-11-27,compras online,0
2016-12-04,compras online,0
2016-12-11,compras online,0
2016-12-18,compras online,0
2016-12-25,compras online,0
2017-01-01,compras online,0
2017-01-08,compras online,0
2017-01-15,compras online,0
2017-01-22,compras online,0
2017-01-29,compras online,0
2017-02-05,compras online,0
2017-02-12,compras online,0
2017-02-19,compras online,0
2017-02-26,compras online,0
2017-03-05,compras online,0
2017-03-12,compras online,0
2017-03-19,compras online,0
2017-03-26,compras online,0
2017-04-02,compras online,0
2017-04-09,compras online,0
2017-04-16,compras online,0
2017-04-23,compras online,0
2017-04-30,compras online,0
2017-05-07,compras online,0
2017-05-14,compras online,0
2017-05-21,compras online,0
2017-05-28,compras online,0
2017-06-04,compras online,0
2017-06-11,compras online,0
2017-06-18,compras online,0
2017-06-25,compras online,0
2017-07-02,compras online,0
2017-07-09,compras online,0
2017-07-16,compras online,0
2017-07-23,compras online,0
2017-07-30,compras online,0
2017-08-06,compras online,0
2017-08-13,compras online,0
2017-08-20,compras online,0
2017-08-27,compras online,0
2017-09-03,compras online,0
2017-09-10,compras online,0
2017-09-17,compras online,0
2017-09-24,compras online,0
2017-10-01,compras online,0
2017-10-08,compras online,0
2017-10-15,compras online,0
2017-10-22,compras online,0
2017-10-29,compras online,0
2017-11-05,compras online,0
2017-11-12,compras online,0
2017-11-19,compras online,0
2017-11-26,compras online,0
2017-12-03,compras online,0
2017-12-10,compras online,0
2017-12-17,compras online,0
2017-12-24,compras online,0
2017-12-31,compras online,0
2018-01-07,compras online,0
2018-01-14,compras online,0
2018-01-21,compras online,0
2018-01-28,compras online,0
2018-02-04,compras online,0
2018-02-11,compras online,0
2018-02-18,compras online,0
2018-02-25,compras online,0
2018-03-04,compras online,0
2018-03-11,compras online,0
2018-03-18,compras online,0
2018-03-25,compras online,0
2018-04-01,compras online,0
2018-04-08,compras online,0
2018-04-15,compras online,0
2018-04-22,compras online,0
2018-04-29,compras online,0
2018-05-06,compras online,0
2018-05-13,compras online,0
2018-05-20,compras online,0
2018-05-27,compras online,0
2018-06-03,compras online,0
2018-06-10,compras online,0
2018-06-17,compras online,0
2018-06-24,compras online,0
2018-07-01,compras online,0
2018-07-08,compras online,0
2018-07-15,compras online,0
2018-07-22,compras online,0
2018-07-29,compras online,0
2018-08-05,compras online,0
2018-08-12,compras online,0
2018-08-19,compras online,0
2018-08-26,compras online,0
2018-09-02,compras online,0
2018-09-09,compras online,0
2018-09-16,compras online,0
2018-09-23,compras online,0
2018-09-30,compras online,0
2018-10-07,compras online,0
2018-10-14,compras online,0
2018-10-21,compras online,0
2018-10-28,compras online,0
2018-11-04,compras online,0
2018-11-11,compras online,0
2018-11-18,compras online,0
2018-11-25,compras online,0
2018-12-02,compras online,0
2018-12-09,compras online,0
2018-12-16,compras online,0
2018-12-23,compras online,0
2018-12-30,compras online,0
2015-12-27,ecommerce,0
2016-01-03,ecommerce,0
2016-01-10,ecommerce,0
2016-01-17,ecommerce,0
2016-01-24,ecommerce,0
2016-01-31,ecommerce,0
2016-02-07,ecommerce,0
2016-02-14,ecommerce,0
2016-02-21,ecommerce,0
2016-02-28,ecommerce,0
2016-03-06,ecommerce,0
2016-03-13,ecommerce,0
2016-03-20,ecommerce,0
2016-03-27,ecommerce,0
2016-04-03,ecommerce,0
2016-04-10,ecommerce,0
2016-04-17,ecommerce,0
2016-04-24,ecommerce,0
2016-05-01,ecommerce,0
2016-05-08,ecommerce,0
2016-05-15,ecommerce,0
2016-05-22,ecommerce,0
2016-05-29,ecommerce,0
2016-06-05,ecommerce,0
2016-06-12,ecommerce,0
2016-06-19,ecommerce,0
2016-06-26,ecommerce,0
2016-07-03,ecommerce,0
2016-07-10,ecommerce,0
2016-07-17,ecommerce,0
2016-07-24,ecommerce,0
