date,keyword,interest
2015-12-27,perfumaria,9
2016-01-03,perfumaria,9
2016-01-10,perfumaria,10
2016-01-17,perfumaria,11
2016-01-24,perfumaria,10
2016-01-31,perfumaria,10
2016-02-07,perfumaria,9
2016-02-14,perfumaria,10
2016-02-21,perfumaria,9
2016-02-28,perfumaria,10
2016-03-06,perfumaria,10
2016-03-13,perfumaria,10
2016-03-20,perfumaria,8
2016-03-27,perfumaria,10
2016-04-03,perfumaria,10
2016-04-10,perfumaria,10
2016-04-17,perfumaria,10
2016-04-24,perfumaria,10
2016-05-01,perfumaria,11
2016-05-08,perfumaria,9
2016-05-15,perfumaria,10
2016-05-22,perfumaria,10
2016-05-29,perfumaria,10
2016-06-05,perfumaria,11
2016-06-12,perfumaria,9
2016-06-19,perfumaria,9
2016-06-26,perfumaria,10
2016-07-03,perfumaria,10
2016-07-10,perfumaria,11
2016-07-17,perfumaria,10
2016-07-24,perfumaria,11
2016-07-31,perfumaria,10
2016-08-07,perfumaria,10
2016-08-14,perfumaria,9
2016-08-21,perfumaria,9
2016-08-28,perfumaria,10
2016-09-04,perfumaria,10
2016-09-11,perfumaria,11
2016-09-18,perfumaria,9
2016-09-25,perfumaria,10
2016-10-02,perfumaria,10
2016-10-09,perfumaria,10
2016-10-16,perfumaria,10
2016-10-23,perfumaria,10
2016-10-30,perfumaria,10
2016-11-06,perfumaria,10
2016-11-13,perfumaria,11
2016-11-20,perfumaria,13
2016-11-27,perfumaria,11
2016-12-04,perfumaria,11
2016-12-11,perfumaria,12
2016-12-18,perfumaria,13
2016-12-25,perfumaria,11
2017-01-01,perfumaria,9
2017-01-08,perfumaria,10
2017-01-15,perfumaria,10
2017-01-22,perfumaria,10
2017-01-29,perfumaria,10
2017-02-05,perfumaria,10
2017-02-12,perfumaria,10
2017-02-19,perfumaria,10
2017-02-26,perfumaria,10
2017-03-05,perfumaria,10
2017-03-12,perfumaria,11
2017-03-19,perfumaria,11
2017-03-26,perfumaria,10
2017-04-02,perfumaria,10
2017-04-09,perfumaria,10
2017-04-16,perfumaria,10
2017-04-23,perfumaria,10
2017-04-30,perfumaria,11
2017-05-07,perfumaria,11
2017-05-14,perfumaria,10
2017-05-21,perfumaria,11
2017-05-28,perfumaria,10
2017-06-04,perfumaria,11
2017-06-11,perfumaria,11
2017-06-18,perfumaria,11
2017-06-25,perfumaria,9
2017-07-02,perfumaria,11
2017-07-09,perfumaria,11
2017-07-16,perfumaria,11
2017-07-23,perfumaria,10
2017-07-30,perfumaria,11
2017-08-06,perfumaria,11
2017-08-13,perfumaria,11
2017-08-20,perfumaria,11
2017-08-27,perfumaria,10
2017-09-03,perfumaria,11
2017-09-10,perfumaria,10
2017-09-17,perfumaria,10
2017-09-24,perfumaria,10
2017-10-01,perfumaria,11
2017-10-08,perfumaria,10
2017-10-15,perfumaria,10
2017-10-22,perfumaria,10
2017-10-29,perfumaria,10
2017-11-05,perfumaria,11
2017-11-12,perfumaria,11
2017-11-19,perfumaria,13
2017-11-26,perfumaria,12
2017-12-03,perfumaria,13
2017-12-10,perfumaria,13
2017-12-17,perfumaria,15
2017-12-24,perfumaria,11
2017-12-31,perfumaria,9
2018-01-07,perfumaria,10
2018-01-14,perfumaria,10
2018-01-21,perfumaria,10
2018-01-28,perfumaria,10
2018-02-04,perfumaria,11
2018-02-11,perfumaria,10
2018-02-18,perfumaria,11
2018-02-25,perfumaria,10
2018-03-04,perfumaria,10
2018-03-11,perfumaria,10
2018-03-18,perfumaria,9
2018-03-25,perfumaria,9
2018-04-01,perfumaria,10
2018-04-08,perfumaria,10
2018-04-15,perfumaria,10
2018-04-22,perfumaria,10
2018-04-29,perfumaria,10
2018-05-06,perfumaria,11
2018-05-13,perfumaria,10
2018-05-20,perfumaria,9
2018-05-27,perfumaria,10
2018-06-03,perfumaria,10
2018-06-10,perfumaria,11
2018-06-17,perfumaria,10
2018-06-24,perfumaria,9
2018-07-01,perfumaria,11
2018-07-08,perfumaria,11
2018-07-15,perfumaria,12
2018-07-22,perfumaria,11
2018-07-29,perfumaria,11
2018-08-05,perfumaria,11
2018-08-12,perfumaria,11
2018-08-19,perfumaria,10
2018-08-26,perfumaria,10
2018-09-02,perfumaria,11
2018-09-09,perfumaria,10
2018-09-16,perfumaria,10
2018-09-23,perfumaria,9
2018-09-30,perfumaria,9
2018-10-07,perfumaria,10
2018-10-14,perfumaria,12
2018-10-21,perfumaria,11
2018-10-28,perfumaria,11
2018-11-04,perfumaria,12
2018-11-11,perfumaria,11
2018-11-18,perfumaria,13
2018-11-25,perfumaria,11
2018-12-02,perfumaria,13
2018-12-09,perfumaria,14
2018-12-16,perfumaria,15
2018-12-23,perfumaria,13
2018-12-30,perfumaria,9
2015-12-27,artes,49
2016-01-03,artes,67
2016-01-10,artes,76
2016-01-17,artes,71
2016-01-24,artes,68
2016-01-31,artes,76
2016-02-07,artes,75
2016-02-14,artes,95
2016-02-21,artes,100
2016-02-28,artes,99
2016-03-06,artes,95
2016-03-13,artes,94
2016-03-20,artes,72
2016-03-27,artes,94
2016-04-03,artes,95
2016-04-10,artes,95
2016-04-17,artes,81
2016-04-24,artes,86
